deviation_factor,midpoint
1.64,"(15, 5)"
1.64,"(16, 5)"
1.64,"(17, 5)"
1.64,"(18, 5)"
1.64,"(19, 5)"
1.64,"(25, 5)"
1.64,"(26, 5)"
1.64,"(27, 5)"
1.64,"(28, 5)"
1.64,"(29, 5)"
1.64,"(35, 5)"
1.68,"(5, 4)"
1.68,"(6, 4)"
1.68,"(7, 4)"
1.68,"(8, 4)"
1.68,"(9, 4)"
1.68,"(10, 4)"
1.68,"(11, 4)"
1.68,"(12, 4)"
1.68,"(13, 4)"
1.68,"(14, 4)"
1.68,"(15, 4)"
1.68,"(16, 4)"
1.68,"(17, 4)"
1.68,"(18, 4)"
1.68,"(19, 4)"
1.68,"(20, 4)"
1.68,"(21, 4)"
1.68,"(22, 4)"
1.68,"(23, 4)"
1.68,"(24, 4)"
1.68,"(25, 4)"
1.68,"(26, 4)"
1.68,"(27, 4)"
1.68,"(28, 4)"
1.68,"(29, 4)"
1.68,"(30, 4)"
1.68,"(31, 4)"
1.68,"(32, 4)"
1.68,"(33, 4)"
1.68,"(34, 4)"
1.68,"(35, 4)"
1.72,"(10, 3)"
1.72,"(11, 3)"
1.72,"(12, 3)"
1.72,"(13, 3)"
1.72,"(14, 3)"
1.72,"(20, 3)"
1.72,"(21, 3)"
1.72,"(22, 3)"
1.72,"(23, 3)"
1.72,"(24, 3)"
1.72,"(30, 3)"
1.72,"(31, 3)"
1.72,"(32, 3)"
1.72,"(33, 3)"
1.72,"(34, 3)"
1.72,"(35, 3)"
1.77,"(10, 2)"
1.77,"(11, 2)"
1.77,"(12, 2)"
1.77,"(13, 2)"
1.77,"(14, 2)"
1.77,"(20, 2)"
1.77,"(21, 2)"
1.77,"(22, 2)"
1.77,"(23, 2)"
1.77,"(24, 2)"
1.77,"(30, 2)"
1.77,"(31, 2)"
1.77,"(32, 2)"
1.77,"(33, 2)"
1.77,"(34, 2)"
1.77,"(35, 2)"
1.81,"(10, 1)"
1.81,"(11, 1)"
1.81,"(12, 1)"
1.81,"(13, 1)"
1.81,"(14, 1)"
1.81,"(20, 1)"
1.81,"(21, 1)"
1.81,"(22, 1)"
1.81,"(23, 1)"
1.81,"(24, 1)"
1.81,"(30, 1)"
1.81,"(31, 1)"
1.81,"(32, 1)"
1.81,"(33, 1)"
1.81,"(34, 1)"
1.81,"(35, 1)"
1.85,"(10, 0)"
1.85,"(11, 0)"
1.85,"(12, 0)"
1.85,"(13, 0)"
1.85,"(14, 0)"
1.85,"(20, 0)"
1.85,"(21, 0)"
1.85,"(22, 0)"
1.85,"(23, 0)"
1.85,"(24, 0)"
1.85,"(30, 0)"
1.85,"(31, 0)"
1.85,"(32, 0)"
1.85,"(33, 0)"
1.85,"(34, 0)"
1.85,"(35, 0)"
